Video_ID,Channel_ID,Channel Name,Subscriber Count,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,Channel_Weight
Ormouw6yOCc,UC_hN8xs99S6jnMdYCuJgoJA,Pinoy Planet,97800.0,0.52,0.41,1.74,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.75,0.0,0.23,0.0,0.81,1.48,1.0,3.6015572993190784e-05
Ot7tb85Si_M,UCTfHKQ9fbUEiStUAQEax7dw,,,,,,,,,,,,,,,,,,,,,
OtCORnXCjxY,UCxOrk9Oi3SetDyZZq8SfPSg,Sights of Cy,17100.0,0.3271428571428571,0.3157142857142857,0.0,0.53,0.1285714285714286,0.4885714285714285,0.0,0.4714285714285715,0.1599999999999999,0.2285714285714286,0.2057142857142857,0.0542857142857142,0.2071428571428571,0.0,0.32,0.52,0.0,1.0,0.0016387085711901807
OtZqj0iKHsM,UCt58ZnSnFPr5XB6mqdQHOrQ,Jason Maoreen,1290.0,0.12,0.07,0.455,0.305,1.56,0.65,0.36,2.5700000000000003,2.5700000000000003,1.845,0.0,0.0,0.085,0.0,2.735,0.86,0.605,0.0,0.0016387085711901807
OtuA-_BiItQ,UCqwxJts-6yF33rupyF_DCsA,Life Where I'm From,1820000.0,,,,,,,,,,,,,,,,,,,0.0016387085711901807
Ou2zaMWAHfk,UCaNE4zwCwdCewUvVOHR5tfw,TRISTAN NDIANGA,3910.0,0.592,0.0,0.552,0.51,0.628,0.766,0.588,1.0799999999999998,1.12,1.276,0.55,0.024,0.398,0.472,1.0699999999999998,0.678,0.206,1.0,0.0016387085711901807
OusxeFragJU,UCRuoOpexSwWdBIByS7RZn8Q,Travel Guide International ,1630.0,1.32,0.08,0.0,1.89,0.23,0.0,0.0,0.0,1.25,0.95,0.0,0.0,1.46,0.0,0.52,0.0,0.0,1.0,0.0016387085711901807
OwtlyzaZvnI,UCzsch8xdb-N_ZEt6tvHfFJA,Gie in Holland,4550.0,0.895,0.29,0.235,0.585,0.0,0.115,0.23,1.705,0.17,0.915,0.185,0.825,0.0,0.235,0.0,0.02,0.17,1.0,0.0016387085711901807
OzNbCfQoj6U,UCuQn8TDdvfdx6vtkvf3ZfeA,INTERVIEWS AROUND THE WORLD ,5700.0,,,,,,,,,,,,,,,,,,,0.0006554834284760723
OzQhTL5rEOI,UCLwXLrLjw0bvnk1eGQBNJmg,Mac n Teens,24300.0,0.7649999999999999,0.185,0.885,0.465,0.5449999999999999,0.98,0.23,0.195,0.185,0.25,0.435,0.02,0.0,0.35,0.33,0.675,0.5800000000000001,1.0,0.0006554834284760723
P-9zC883vFE,UCrH_qGCqMX4PJX5W3LXBzTQ,Tim Tayag,1600.0,0.21,0.63,0.0,0.21,0.0,0.19,0.0,0.07,0.0,0.0,0.27,0.52,0.0,0.0,1.0,1.16,0.0,1.0,0.0008193542855950903
P-I4Bay5SXo,UCuCuEKq1xuRA0dFQj1qg9-Q,Knowledgia,2080000.0,0.0,0.0,0.0,0.85,0.0,0.0,0.44,0.13,0.0,0.0,1.3,1.77,0.0,0.14,0.0,1.55,0.1,1.0,0.0010924723807934538
P0XVeUTSHWw,UCWjSwkIn2gGgETcZZYaO-6g,RETIRING IN PARADISE,17000.0,1.2533333333333332,0.1733333333333333,0.2533333333333333,0.2633333333333333,0.2933333333333333,1.2000000000000002,0.0,0.3,0.4966666666666666,0.0,1.0366666666666664,0.5599999999999999,0.0,0.0,0.0,0.0,0.32,1.0,8.62478195363253e-05
