Video_ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,View Count,Like Count,Comment Count
aJ3H99d41l0,0.3,0.0,0.0,0.05,2.56,2.16,0.0,3.01,3.0,2.62,0.0,0.0,0.88,0.0,2.49,0.0,0.0,0,2948,161,33
aLXp5M1mdoo,0.92,1.255,0.0,0.085,0.13,0.49,0.0,0.205,0.3,0.0,0.775,0.21,0.27,0.055,0.16,0.16,0.495,1,646439,18832,2729
aNTEtfr81E4,2.16,0.21,1.03,1.4,0.0,0.76,0.0,0.8,0.0,0.0,2.15,0.37,0.0,1.67,0.15,0.77,0.6,1,448,26,10
aPgwD05HHKE,0.0,0.0,0.0,0.0,0.68,0.1,0.74,0.19,0.13,1.1,0.53,2.23,2.17,0.43,0.0,0.0,0.0,1,634,28,14
aRVWwPgSOkk,0.57,1.59,0.0,0.0,0.5,1.11,0.39,0.0,0.78,0.0,0.0,0.0,0.0,0.0,1.99,1.37,0.0,1,221025,4948,855
aRhLGffqjgk,2.02,0.43,1.23,0.75,0.92,3.52,1.14,1.36,0.0,0.0,0.71,0.0,0.0,0.0,2.19,1.68,0.47,0,230590,18860,1872
aSvGcCDoVt0,0.0,0.0,0.0,2.62,0.71,0.0,0.08,0.78,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11676,582,26
aW1C2JvSSHg,1.14,0.0,0.69,0.07,1.965,3.225,0.76,1.875,2.03,0.6950000000000001,0.285,0.445,0.255,0.34,1.245,0.285,0.105,0,15466,1810,252
aYc5vE28Big,1.11,0.77,0.335,1.62,0.0,0.0,0.0,0.595,0.565,0.0,0.0,0.0,0.225,0.0,1.5950000000000002,2.08,0.0,2,4450672,106384,3922
abYIe3yt2E8,0.69,0.9566666666666668,0.6166666666666667,2.37,0.3933333333333333,0.2933333333333333,0.4266666666666667,0.0666666666666666,0.03,0.2733333333333333,0.2533333333333333,0.1966666666666666,0.2366666666666666,0.0366666666666666,0.5433333333333333,1.1733333333333331,0.0,1,421921,13221,552
acp-2bET9Tk,0.345,0.175,0.0,1.0325,0.3075,0.27,0.0,0.4475,0.695,0.4175,0.0,0.235,0.1225,0.0975,1.0699999999999998,0.47,0.225,1,368358,15222,1062
affyMammfp4,0.38,0.16,0.145,0.38,0.92,0.585,0.77,0.18,0.19,0.345,1.37,0.17,0.6699999999999999,0.3,0.59,1.67,0.0,1,129642,3501,344
afsIRMFQR3U,0.66,0.2033333333333333,0.9333333333333332,0.8533333333333334,1.3666666666666665,2.3866666666666667,0.7133333333333333,1.2966666666666666,0.7200000000000001,0.1466666666666666,0.9433333333333334,1.106666666666667,0.2166666666666666,0.97,0.7200000000000001,0.9666666666666668,0.0,1,38169,1675,174
aiF84sKG90U,1.2,1.85,0.275,0.46,0.245,0.5549999999999999,0.135,0.455,2.44,0.29,0.055,0.415,0.0,0.115,1.89,1.835,0.485,2,10952,1023,107
aiWO5CxPUXk,1.0125,0.4275,0.28,1.9625,1.38,0.78,0.295,1.265,1.5375,0.7725,0.0325,0.2475,0.3425,0.19,1.315,0.3575,0.0,0,42120,2053,281
