Video_ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster
pLT2-jZTPi8,0.6371428571428571,0.31,0.5,1.15,0.3314285714285714,0.6214285714285713,0.4242857142857142,0.43,0.63,0.1642857142857142,0.3214285714285714,0.03,0.1914285714285714,0.0,0.9157142857142856,0.4314285714285714,0.1185714285714285,1
pNAjL71DIzA,0.4,1.34,0.0,0.0,0.0,0.0,0.0,0.12,0.69,0.0,0.13,0.86,0.0,0.0,0.52,1.47,1.1,1
pOt30zljCYg,0.59,0.0,0.83,0.73,0.65,0.0,1.01,0.77,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1
pQqcWZCvt1o,0.62,0.69,0.0,0.0,0.12,1.42,0.32,0.0,0.12,0.0,1.27,0.46,0.0,0.0,1.13,2.51,0.89,1
pRuQHFmwfbo,0.33,0.1366666666666667,0.1433333333333333,0.0,0.88,0.6933333333333334,0.15,1.1466666666666667,1.2,1.2666666666666666,0.1733333333333333,0.5333333333333333,0.71,0.4966666666666666,0.1533333333333333,0.1633333333333333,0.6233333333333334,1
pSZY47YY_AI,1.346666666666667,0.67,0.3366666666666666,1.8433333333333333,0.0,1.2966666666666666,0.0,1.5666666666666664,0.4833333333333334,1.55,0.87,1.346666666666667,0.0,0.9866666666666668,0.3133333333333333,0.0,0.36,1
pVi_0uV4oO4,0.1766666666666666,0.0,0.4833333333333333,0.0433333333333333,0.9866666666666668,1.3433333333333335,1.07,0.9566666666666668,1.06,0.4666666666666666,0.1733333333333333,0.6499999999999999,0.84,0.0633333333333333,1.36,0.0499999999999999,0.6566666666666666,0
pXNjpmV79xY,0.34,0.0,0.0,1.42,0.01,0.0,0.0,0.36,0.67,0.0,0.68,3.28,0.0,0.0,0.0,4.61,0.0,1
pZCZT41ikYs,0.4966666666666666,0.0,0.6233333333333334,0.3966666666666666,1.2666666666666666,1.74,0.11,1.57,1.4799999999999998,0.3899999999999999,0.2433333333333333,0.84,0.8666666666666667,0.33,0.7633333333333333,0.5966666666666667,0.2,0
paUexVQQ_0Y,0.515,0.0,0.0,0.585,0.45,0.0,0.38,0.37,0.605,0.41,0.14,0.0,0.41,0.105,0.405,0.7,0.0,1
pgyCi7W-gbg,1.18,0.0,0.21,0.0,0.48,0.71,0.68,0.0,0.26,0.66,0.3,0.97,0.62,0.0,0.17,1.16,0.15,1
pgyfXG8mmtw,0.1157142857142857,0.0614285714285714,0.2514285714285714,0.2842857142857143,1.0685714285714285,1.1371428571428572,0.2042857142857143,0.8057142857142857,1.0857142857142856,1.042857142857143,0.0157142857142857,0.2799999999999999,0.4228571428571429,0.0671428571428571,1.0285714285714287,0.2342857142857143,0.1142857142857143,1
piY6UPFcg4E,0.42,0.02,0.0,1.975,0.04,0.0,0.0,0.0,0.72,0.81,0.0,0.0,0.0,0.16,0.0,0.0,0.0,1
pikBCAGvTQQ,0.2,0.0,1.035,0.585,2.305,2.695,0.205,2.215,1.88,1.19,0.0,0.0,0.905,0.0,2.4,0.0,0.0,0
pj8e1qh_pFw,0.43,0.0,0.53,0.0,1.315,1.235,1.14,1.065,1.025,1.425,0.465,0.7749999999999999,1.245,0.115,0.41,0.22,0.0,0
plIRuVCIHoo,0.345,0.08,0.6075,0.4825,0.565,0.1075,0.1,0.8300000000000001,0.57,0.1925,0.25,0.0,0.375,0.0,0.9975,1.3675000000000002,0.3199999999999999,1
plIRuVCIHoo(1),0.345,0.08,0.6075,0.4825,0.565,0.1075,0.1,0.8300000000000001,0.57,0.1925,0.25,0.0,0.375,0.0,0.9975,1.3675000000000002,0.3199999999999999,1
pluh28qwVSU,0.5,0.0,0.0,0.02,2.1766666666666667,3.1633333333333336,1.32,1.893333333333333,1.2033333333333334,1.3133333333333332,0.3566666666666667,0.0866666666666666,0.8566666666666668,0.0066666666666666,1.67,0.68,0.0166666666666666,0
poCFGyWuPAI,0.01,0.095,0.15,0.0,1.14,1.19,0.55,0.665,1.435,0.855,0.005,0.0,0.055,0.0,2.155,1.41,0.265,0
poP4WEHiHFg,0.7150000000000001,0.2275,0.06,0.8425,0.5125000000000001,0.2625,0.0,1.475,1.61,0.92,0.0,0.0,0.4075,0.225,0.7375,0.3925,0.4,1
pqEiNd-BodQ,3.55,3.63,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.0,0.0,0.33,0.0,0.0,2
ps_futMHK_w,0.8266666666666667,0.8833333333333333,0.1866666666666666,2.07,0.45,1.1,0.1333333333333333,0.4599999999999999,1.1033333333333333,0.7666666666666666,1.923333333333333,0.3666666666666667,0.13,0.0966666666666666,2.44,0.64,0.2799999999999999,2
puxKH-_9xGM,1.03,0.46,1.72,1.15,1.93,2.05,0.41,1.85,1.74,0.65,0.0,0.34,0.0,0.48,1.27,0.94,0.0,0
pyUP952W988,5.0,5.0,0.0,5.0,0.3,5.0,0.0,0.85,0.23,0.96,3.53,0.24,0.67,1.19,1.39,4.29,0.0,2
pzATTm3D-30,2.36,0.34,0.58,1.99,1.03,2.54,0.0,0.78,0.93,0.0,1.09,0.12,1.04,0.0,0.0,0.0,0.01,1
q0jiplnLE6A,1.67,1.035,0.635,0.365,0.7,0.705,0.025,1.74,1.535,1.345,0.0,0.095,0.0,0.0,1.415,0.0,0.5,0
q16j0aCbC-A,0.18,0.0,0.56,0.0,1.66,1.07,0.0,1.22,2.58,0.85,0.0,0.0,0.11,0.0,2.66,0.59,0.07,0
q5Y4j8oBtRY,0.4525,0.055,0.59,0.2725,0.325,0.3974999999999999,0.205,0.9125,0.6525,0.365,0.7225,0.1875,1.0825,0.0,1.1175,0.1999999999999999,0.4775,1
q7GvJdxx8v4,0.0,0.21,0.0,1.2,1.86,1.93,0.38,1.95,2.54,1.77,0.0,0.0,0.26,0.0,3.77,2.03,0.0,0
q7QzU8Q4ocE,0.67,0.0,0.0,0.0,1.78,1.88,0.8,2.0,2.92,0.09,0.04,0.0,0.56,0.34,2.09,0.0,0.0,0
q7w7QXvUVEw,0.187,0.048,0.377,0.41,0.772,0.86,0.231,1.138,1.176,1.268,0.3969999999999999,0.0699999999999999,0.069,0.119,0.71,0.295,0.213,1
q86_2e-nnqE,1.77,0.35,1.23,0.18,1.61,2.49,0.36,1.27,1.65,2.47,0.0,0.0,1.22,0.0,1.12,0.75,1.6,0
q9KqyXi6IRM,0.025,0.0,0.0,1.305,0.525,0.0,0.02,1.505,0.685,0.1699999999999999,1.53,0.12,0.755,0.685,0.78,1.395,0.0,1
qFcd1RYcufE,1.8966666666666665,2.2266666666666666,0.73,2.8166666666666664,0.41,0.0,0.0033333333333333,0.5566666666666666,0.9566666666666668,0.4199999999999999,0.3999999999999999,0.13,0.0,0.0,1.413333333333333,0.5933333333333334,0.0,2
qGs-DWaJS3I,1.7000000000000002,0.92,0.81,0.64,0.925,1.365,0.525,2.01,1.085,2.85,0.28,0.72,0.0,0.0,1.185,1.73,0.575,0
qIbwMzcY-Fs,0.575,0.195,0.0,1.105,0.8049999999999999,0.65,0.0,0.7699999999999999,1.94,1.895,0.24,0.14,0.545,0.305,1.44,0.505,0.37,0
qJjZNfhWbiw,1.12,0.0,1.18,0.46,0.0,0.0,0.37,0.91,0.0,0.19,1.04,0.81,0.0,0.0,0.0,0.0,0.0,1
qKfeGCqI1Nk,1.13,1.27,1.59,1.55,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.28,0.0,1
qMmHIjfF4d0,0.0,0.0,0.73,0.84,1.65,2.54,0.75,0.0,0.0,0.0,3.86,0.06,0.0,0.0,1.23,0.0,0.0,1
qNK6fd81u2I,0.97,0.57,0.0,0.0,0.99,1.33,0.0,1.23,2.01,1.27,0.0,0.09,0.0,0.06,0.21,0.0,0.71,0
qPIzoLmZwsk,0.345,0.055,0.0,0.92,0.535,0.535,0.5,0.625,0.255,0.0,1.005,0.155,0.585,0.08,0.0,0.0,0.0,1
qPLQ2AR_Cu8,1.28,0.51,0.37,1.21,0.0,0.0,0.04,0.03,0.0,0.0,0.16,1.47,0.0,1.12,0.0,5.0,0.24,1
qRD-e9S9IgU,0.26,0.0,0.735,0.315,0.125,0.725,0.0,0.655,0.025,0.0,0.0,0.0,0.0,0.0,0.415,0.135,0.195,1
qRd5BG4FSA8,0.48,0.0,0.44,0.196,0.694,0.482,0.398,1.1720000000000002,0.8400000000000001,0.2599999999999999,0.186,0.204,0.258,0.0,0.412,0.1399999999999999,0.188,1
qX5hBgRIG8Q,0.445,0.0,0.0,0.785,1.13,0.62,0.14,1.015,1.4900000000000002,1.81,0.26,1.28,0.59,0.0,1.52,0.27,0.035,0
qYdctclNUjo,0.825,0.685,0.02,0.9,1.07,1.53,0.705,1.625,1.88,0.53,0.26,0.0,0.465,0.235,2.015,0.535,0.065,0
qZgAQP1EhPY,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.8500000000000001,0.0,0.245,0.325,0.09,0.0,0.0,0.995,1.3199999999999998,0.65,1
qbISQ7JAYBU,1.395,0.21,0.875,1.725,0.0,0.0,0.885,0.35,0.04,0.07,1.665,0.0,0.0,0.73,0.3,1.145,0.16,1
qe16IBUcZmY,0.0,0.0,0.37,0.0,0.945,1.66,0.985,0.59,0.88,0.325,0.105,0.225,0.175,0.335,1.045,1.145,1.405,1
qfbf05K7iZo,0.954,0.2319999999999999,0.374,1.556,0.522,0.376,0.068,0.2259999999999999,0.408,0.008,0.26,0.8140000000000001,0.996,0.086,0.5599999999999999,0.524,0.014,1
qkZW_IqoBBo,0.09,0.0,0.0,0.0,2.68,3.06,0.88,1.9,1.92,0.68,0.54,0.0,1.06,0.0,2.35,0.41,0.0,0
qlIjiP0U7iA,0.5733333333333334,0.0866666666666666,0.31,0.2366666666666666,1.086666666666667,0.92,0.2199999999999999,0.6433333333333334,0.7366666666666667,0.4366666666666667,0.3666666666666667,0.3366666666666666,0.9266666666666666,0.1433333333333333,1.3433333333333335,0.8366666666666666,0.0533333333333333,1
qqHxrueU4iY,1.88,2.53,0.0,0.18,0.0,0.0,0.0,1.2,0.84,0.56,0.0,0.0,0.03,0.0,0.09,0.0,0.0,2
qzdU92L30NA,0.75,0.17,0.215,1.14,0.48,0.805,0.57,0.76,0.0,0.21,1.735,0.175,0.12,1.775,0.8,0.62,0.92,1
r44uV9wRSK8,1.1525,0.0,0.1775,0.0525,0.5475,0.3725,0.6325000000000001,0.71,0.3575,1.335,0.915,0.4375,0.1375,0.635,0.9475,0.2875,0.4325,1
r5_rGPunG-w,1.715,1.78,0.0,0.89,2.285,1.455,0.495,1.255,3.0,0.76,0.09,0.0,0.63,0.24,1.635,0.385,0.0,0
rDwuNncdXkI,0.7250000000000001,0.0,0.2,0.56,0.265,0.0,0.4,0.155,0.14,0.365,0.63,0.05,0.0,0.02,0.0,0.0,0.0,1
rGI-ybl6hmQ,1.52,0.57,2.5,0.17,0.37,0.04,0.0,1.72,0.0,0.76,0.0,1.78,0.08,0.0,0.0,0.0,0.12,1
rH0goRmv83s,0.92,2.51,0.0,0.0,0.0,0.0,0.0,0.08,0.74,0.0,0.0,0.18,0.11,0.0,1.15,1.57,2.63,2
rL7THDp44bo,0.5775,0.0,0.3249999999999999,0.5925,0.29,1.1475,0.5775,0.44,0.05,0.95,0.5775,0.655,1.0925,0.2325,0.2025,0.315,0.04,1
rPaYydO--dU,0.2568421052631578,0.0194736842105263,0.2178947368421052,0.3268421052631579,0.7684210526315789,1.0557894736842104,0.4515789473684211,0.4010526315789474,0.8289473684210527,0.7910526315789475,0.3468421052631579,0.2657894736842105,0.648421052631579,0.1963157894736842,0.5221052631578947,0.3757894736842105,0.0394736842105263,1
rQ0zqHlIs3A,2.19,0.08,0.18,2.0,0.0,0.48,0.0,1.71,0.0,1.01,1.93,2.27,0.0,0.59,0.0,0.0,0.0,1
rSlt7kxx1fk,1.1385714285714286,0.3757142857142857,0.5314285714285715,0.6328571428571428,0.3071428571428571,0.5928571428571429,0.1842857142857143,0.8142857142857143,0.3442857142857143,0.6971428571428572,0.5157142857142857,0.0257142857142857,0.3071428571428571,0.0071428571428571,0.5071428571428571,0.8671428571428572,0.2457142857142857,1
rTXxkwnfLQw,0.02,0.0,0.0,0.29,2.065,0.0,0.235,2.345,2.22,0.905,0.135,0.0,0.04,0.035,1.155,0.175,0.0,0
rUqY_dUpCDY,0.0,0.0,0.18,0.0,1.71,2.38,1.57,2.69,1.87,0.0,0.52,0.0,0.0,0.0,2.72,2.78,0.0,0
rVv4f68pPoA,0.08,0.0,0.21,0.6433333333333333,1.7533333333333332,1.656666666666667,0.51,1.5766666666666669,2.32,1.51,0.0,0.0,0.11,0.0633333333333333,2.3666666666666667,1.5433333333333332,0.1033333333333333,0
r_sGpp6plHQ,0.94,1.48,0.0,2.02,0.11,0.295,0.095,0.66,1.36,0.635,0.05,0.13,0.095,0.05,1.225,0.6749999999999999,0.0,2
rbvXpMfZl2I,0.47,0.145,0.545,0.795,2.655,1.84,1.51,2.75,2.575,1.745,0.01,0.0,1.17,0.33,2.21,0.5,0.01,0
ricDgJt5sCQ,2.01,0.0,0.0,0.0,0.85,1.9,0.92,0.0,1.41,0.95,0.0,0.0,1.29,0.0,1.19,0.28,2.81,0
rmQDjbvJVik,0.395,0.1,0.0,2.0,0.23,0.0,0.05,0.185,0.275,1.36,1.035,0.035,0.48,0.23,0.8999999999999999,0.885,0.0,1
rnd9Hqot5RY,1.02,0.25,0.0,2.14,0.77,0.0,0.1,1.76,1.33,1.98,1.47,2.19,0.4,0.0,0.0,0.21,0.0,1
roCaFODDTbM,0.57,0.335,0.485,0.06,1.4549999999999998,1.405,0.48,1.56,0.745,0.01,0.655,0.505,0.0,0.005,1.03,1.41,0.645,1
rr9vlpo96d8,0.38,0.0,0.0,0.0,1.6,0.0,0.62,1.99,3.23,1.75,0.0,0.0,0.0,0.0,2.5,0.0,1.36,0
rrDe-q9Div4,0.76,0.0,0.0,0.5,1.49,0.53,0.99,1.95,2.45,0.13,0.21,0.0,0.97,0.0,1.88,0.0,0.0,0
ruBgmdFjSMQ,0.235,0.3,0.7050000000000001,0.055,2.515,2.175,1.225,2.02,2.49,0.605,0.38,0.0,0.34,0.0,3.495,0.8450000000000001,0.86,0
ruElibcApIE,0.3366666666666666,0.2766666666666666,0.4266666666666667,0.0,0.8133333333333334,0.0833333333333333,0.6766666666666667,1.4466666666666663,0.9166666666666664,0.7966666666666667,0.7033333333333333,0.7233333333333333,0.8666666666666667,0.0,1.0033333333333334,0.3566666666666667,0.4833333333333333,1
ruVGGgnY-wY,1.355,0.105,1.735,0.36,0.795,1.075,0.315,1.085,0.815,0.25,0.48,0.0,0.17,0.0,1.255,0.665,0.465,1
rvToEKQvF50,1.3199999999999998,1.865,0.095,1.38,0.315,0.0,0.21,0.93,0.565,0.32,0.525,0.485,0.0,0.52,1.055,2.325,0.0,2
rxxIlxGqOvI,0.2085714285714285,0.0,0.3728571428571429,0.87,0.7042857142857143,0.5828571428571429,0.4471428571428571,1.0928571428571427,0.9628571428571427,0.7985714285714286,0.4371428571428571,0.2357142857142857,0.8742857142857143,0.0357142857142857,0.99,0.0485714285714285,0.13,1
s-7XxMvb09M,0.0,0.0,0.28,0.0,1.315,1.515,0.505,1.075,1.215,1.0,1.135,0.035,1.745,0.325,1.335,0.315,0.0,0
s1_Bc_E67y0,1.1,1.4300000000000002,0.0,0.735,0.935,0.615,0.0,1.1,1.57,1.475,0.8049999999999999,0.0,0.0,0.0,2.18,0.64,1.06,0
s6J8ZfrnXoI,0.4533333333333333,0.1966666666666666,0.9733333333333332,0.27,0.1266666666666666,0.1033333333333333,0.16,0.9233333333333332,0.6366666666666666,0.5166666666666667,0.12,0.3033333333333333,0.0,0.2966666666666666,1.106666666666667,1.2233333333333334,1.01,1
